,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Date,Amount
26371,538510,22739,RIBBON REEL CHRISTMAS SOCK BAUBLE,1,12-12-2010 13:47,1.65,18004.0,United Kingdom,2010-12-12,1.65
26411,538511,22625,RED KITCHEN SCALES,5,12-12-2010 13:56,8.5,13959.0,United Kingdom,2010-12-12,42.5
26427,538512,22424,ENAMEL BREAD BIN CREAM,2,12-12-2010 14:03,12.75,16665.0,United Kingdom,2010-12-12,25.5
26436,538513,21485,RETROSPOT HEART HOT WATER BOTTLE,1,12-12-2010 14:21,4.95,15454.0,United Kingdom,2010-12-12,4.95
26461,538514,22689,DOORMAT MERRY CHRISTMAS RED ,1,12-12-2010 14:27,7.95,15044.0,United Kingdom,2010-12-12,7.95
26519,538515,22622,BOX OF VINTAGE ALPHABET BLOCKS,24,12-12-2010 14:43,8.5,17937.0,United Kingdom,2010-12-12,204.0
26532,538516,22112,CHOCOLATE HOT WATER BOTTLE,48,12-12-2010 14:49,4.25,14608.0,United Kingdom,2010-12-12,204.0
26533,538517,22491,PACK OF 12 COLOURED PENCILS,6,12-12-2010 16:05,0.85,17618.0,United Kingdom,2010-12-12,5.1
26586,538518,90200C,BLUE SWEETHEART BRACELET,1,12-12-2010 16:14,4.25,14505.0,United Kingdom,2010-12-12,4.25
26723,538519,22802,FAUX FUR CHOCOLATE THROW,1,12-12-2010 16:20,19.95,18037.0,United Kingdom,2010-12-12,19.95
26732,538521,21754,HOME BUILDING BLOCK WORD,3,13-12-2010 09:02,5.95,14180.0,United Kingdom,2010-12-13,17.85
26749,538522,20801,LARGE PINK GLASS SUNDAE DISH,32,13-12-2010 09:09,0.75,16210.0,United Kingdom,2010-12-13,24.0
26755,538523,82616C,MIDNIGHT GLAMOUR SCARF KNITTING KIT,6,13-12-2010 09:29,2.95,13198.0,United Kingdom,2010-12-13,17.700000000000003
27289,538526,85035B,CHOCOLATE 3 WICK MORRIS BOX CANDLE,288,13-12-2010 09:49,1.25,13225.0,United Kingdom,2010-12-13,360.0
27293,538527,22130,PARTY CONE CHRISTMAS DECORATION ,12,13-12-2010 09:52,0.85,15361.0,United Kingdom,2010-12-13,10.2
27300,538528,21868,POTTING SHED TEA MUG,12,13-12-2010 09:57,1.25,15689.0,United Kingdom,2010-12-13,15.0
27306,538529,22837,HOT WATER BOTTLE BABUSHKA ,4,13-12-2010 10:24,4.65,14290.0,United Kingdom,2010-12-13,18.6
27330,538532,84946,ANTIQUE SILVER TEA GLASS ETCHED,36,13-12-2010 10:31,1.25,13209.0,United Kingdom,2010-12-13,45.0
27343,538533,85227,SET OF 6 3D KIT CARDS FOR KIDS,1,13-12-2010 10:31,0.85,14796.0,United Kingdom,2010-12-13,0.85
27381,538534,22834,HAND WARMER BABUSHKA DESIGN,48,13-12-2010 10:36,0.85,15881.0,United Kingdom,2010-12-13,40.8
27382,538535,22469,HEART OF WICKER SMALL,40,13-12-2010 10:39,1.45,17790.0,United Kingdom,2010-12-13,58.0
27390,538537,22795,SWEETHEART RECIPE BOOK STAND,16,13-12-2010 10:41,5.95,12747.0,United Kingdom,2010-12-13,95.2
27398,538541,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,40,13-12-2010 10:46,2.55,17428.0,United Kingdom,2010-12-13,102.0
27413,538557,82486,WOOD S/3 CABINET ANT WHITE FINISH,2,13-12-2010 10:52,7.95,17790.0,United Kingdom,2010-12-13,15.9
27415,538558,21390,FILIGRIS HEART WITH BUTTERFLY,2,13-12-2010 10:58,1.25,13069.0,United Kingdom,2010-12-13,2.5
27449,538565,21034,REX CASH+CARRY JUMBO SHOPPER,2,13-12-2010 11:11,0.95,13069.0,United Kingdom,2010-12-13,1.9
27924,538567,20675,BLUE POLKADOT BOWL,8,13-12-2010 11:23,1.25,13999.0,United Kingdom,2010-12-13,10.0
27941,538576,22844,VINTAGE CREAM DOG FOOD CONTAINER,2,13-12-2010 11:29,8.5,14498.0,United Kingdom,2010-12-13,17.0
27955,538591,21262,WHITE GOOSE FEATHER CHRISTMAS TREE ,6,13-12-2010 11:44,2.95,14741.0,United Kingdom,2010-12-13,17.700000000000003
27965,538592,21030,SPACE CADET RED,1,13-12-2010 11:47,1.25,15854.0,United Kingdom,2010-12-13,1.25
27980,538593,22710,WRAP I LOVE LONDON ,50,13-12-2010 11:51,0.42,16701.0,United Kingdom,2010-12-13,21.0
27991,538594,21100,CHARLIE AND LOLA CHARLOTTE BAG,10,13-12-2010 11:57,1.65,16927.0,United Kingdom,2010-12-13,16.5
27994,538596,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,13-12-2010 12:10,3.75,17990.0,United Kingdom,2010-12-13,22.5
28001,538597,16216,LETTER SHAPE PENCIL SHARPENER,10,13-12-2010 12:26,0.16,15555.0,United Kingdom,2010-12-13,1.6
28027,538625,22634,CHILDS BREAKFAST SET SPACEBOY ,2,13-12-2010 12:50,9.95,14544.0,United Kingdom,2010-12-13,19.9
28084,538626,84991,60 TEATIME FAIRY CAKE CASES,6,13-12-2010 12:57,0.55,17338.0,United Kingdom,2010-12-13,3.3000000000000003
28149,538629,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,3,13-12-2010 13:10,1.45,17799.0,United Kingdom,2010-12-13,4.35
28182,538630,20711,JUMBO BAG TOYS ,10,13-12-2010 13:25,1.95,14565.0,United Kingdom,2010-12-13,19.5
28236,538631,21390,FILIGRIS HEART WITH BUTTERFLY,72,13-12-2010 13:27,1.25,13408.0,United Kingdom,2010-12-13,90.0
28245,538633,84375,SET OF 20 KIDS COOKIE CUTTERS,1,13-12-2010 13:28,2.1,16726.0,United Kingdom,2010-12-13,2.1
28265,538634,22075,6 RIBBONS ELEGANT CHRISTMAS ,8,13-12-2010 13:28,1.65,14085.0,United Kingdom,2010-12-13,13.2
28307,538635,84985A,SET OF 72 GREEN PAPER DOILIES,1,13-12-2010 13:32,1.45,17303.0,United Kingdom,2010-12-13,1.45
28360,538636,21136,PAINTED METAL PEARS ASSORTED,16,13-12-2010 13:50,1.69,14639.0,United Kingdom,2010-12-13,27.04
28401,538637,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,6,13-12-2010 13:52,1.25,17611.0,United Kingdom,2010-12-13,7.5
28445,538638,90162D,ANT SILVER PURPLE BOUDICCA RING,2,13-12-2010 14:16,2.95,17231.0,United Kingdom,2010-12-13,5.9
28497,538639,20829,GLITTER HANGING BUTTERFLY STRING,8,13-12-2010 14:24,2.1,17179.0,United Kingdom,2010-12-13,16.8
28517,538640,22082,RIBBON REEL STRIPES DESIGN ,5,13-12-2010 14:32,1.65,17524.0,United Kingdom,2010-12-13,8.25
28523,538641,20718,RED RETROSPOT SHOPPER BAG,20,13-12-2010 14:36,1.25,15640.0,United Kingdom,2010-12-13,25.0
28566,538645,22222,CAKE PLATE LOVEBIRD WHITE,12,13-12-2010 14:52,1.95,13269.0,United Kingdom,2010-12-13,23.4
28582,538646,22299,PIG KEYRING WITH LIGHT & SOUND ,48,13-12-2010 14:55,1.25,17293.0,United Kingdom,2010-12-13,60.0
28596,538648,21662,VINTAGE GLASS COFFEE CADDY,48,13-12-2010 14:56,5.45,17937.0,United Kingdom,2010-12-13,261.6
28608,538651,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,6,13-12-2010 15:07,0.85,15311.0,United Kingdom,2010-12-13,5.1
28631,538652,16016,LARGE CHINESE STYLE SCISSOR,4,13-12-2010 15:12,0.85,17890.0,United Kingdom,2010-12-13,3.4
28695,538653,22961,JAM MAKING SET PRINTED,24,13-12-2010 15:12,1.45,13089.0,United Kingdom,2010-12-13,34.8
28713,538654,22723,SET OF 6 HERB TINS SKETCHBOOK,4,13-12-2010 15:13,3.95,13089.0,United Kingdom,2010-12-13,15.8
28718,538655,84575A,PINK DOG CANNISTER,1,13-12-2010 15:16,5.95,17375.0,United Kingdom,2010-12-13,5.95
28739,538656,90125D,PURPLE BERTIE GLASS BEAD BAG CHARM,1,13-12-2010 15:20,2.1,17371.0,United Kingdom,2010-12-13,2.1
28747,538657,48173C,DOORMAT BLACK FLOCK ,2,13-12-2010 15:26,7.95,15867.0,United Kingdom,2010-12-13,15.9
28763,538658,22371,AIRLINE BAG VINTAGE TOKYO 78,1,13-12-2010 15:34,4.25,17969.0,United Kingdom,2010-12-13,4.25
28770,538659,21351,CINAMMON & ORANGE WREATH,2,13-12-2010 15:36,6.75,14625.0,United Kingdom,2010-12-13,13.5
28804,538660,82482,WOODEN PICTURE FRAME WHITE FINISH,36,13-12-2010 15:37,2.1,15808.0,United Kingdom,2010-12-13,75.60000000000001
28846,538661,85035C,ROSE 3 WICK MORRIS BOX CANDLE,24,13-12-2010 15:42,1.25,15194.0,United Kingdom,2010-12-13,30.0
28857,538662,20704,MR ROBOT SOFT TOY,8,13-12-2010 15:44,1.95,15159.0,United Kingdom,2010-12-13,15.6
28903,538663,22964,3 PIECE SPACEBOY COOKIE CUTTER SET,6,13-12-2010 15:45,2.1,15159.0,United Kingdom,2010-12-13,12.600000000000001
28905,538664,20802,SMALL GLASS SUNDAE DISH CLEAR,36,13-12-2010 15:46,0.42,14733.0,United Kingdom,2010-12-13,15.12
28938,538665,35095B,RED VICTORIAN FABRIC OVAL BOX,6,13-12-2010 15:56,0.42,17576.0,United Kingdom,2010-12-13,2.52
28954,538667,21034,REX CASH+CARRY JUMBO SHOPPER,2,13-12-2010 16:01,0.95,12748.0,United Kingdom,2010-12-13,1.9
28955,538668,21210,SET OF 72 RETROSPOT PAPER  DOILIES,6,13-12-2010 16:17,1.45,13211.0,United Kingdom,2010-12-13,8.7
28957,538669,21034,REX CASH+CARRY JUMBO SHOPPER,1,13-12-2010 16:18,0.95,12748.0,United Kingdom,2010-12-13,0.95
28959,538671,22111,SCOTTIE DOG HOT WATER BOTTLE,9,13-12-2010 16:38,4.95,15777.0,United Kingdom,2010-12-13,44.550000000000004
28981,538679,84029E,RED WOOLLY HOTTIE WHITE HEART.,4,13-12-2010 17:03,3.75,16455.0,United Kingdom,2010-12-13,15.0
28995,538683,22151,PLACE SETTING WHITE HEART,12,13-12-2010 17:40,0.42,14525.0,United Kingdom,2010-12-13,5.04
29018,538685,POST,POSTAGE,1,14-12-2010 09:39,15.0,15694.0,United Kingdom,2010-12-14,15.0
29020,538687,22961,JAM MAKING SET PRINTED,96,14-12-2010 09:50,1.25,13324.0,United Kingdom,2010-12-14,120.0
29025,538688,85099C,JUMBO  BAG BAROQUE BLACK WHITE,10,14-12-2010 09:50,1.95,14829.0,United Kingdom,2010-12-14,19.5
29032,538689,47591D,PINK FAIRY CAKE CHILDRENS APRON,8,14-12-2010 09:52,1.95,13050.0,United Kingdom,2010-12-14,15.6
29059,538697,22222,CAKE PLATE LOVEBIRD WHITE,24,14-12-2010 10:18,1.95,13948.0,United Kingdom,2010-12-14,46.8
29071,538706,22153,ANGEL DECORATION STARS ON DRESS,48,14-12-2010 10:34,0.42,14667.0,United Kingdom,2010-12-14,20.16
29084,538707,22297,HEART IVORY TRELLIS SMALL,4,14-12-2010 10:38,1.25,17894.0,United Kingdom,2010-12-14,5.0
29127,538708,22623,BOX OF VINTAGE JIGSAW BLOCKS ,3,14-12-2010 10:43,4.95,16202.0,United Kingdom,2010-12-14,14.850000000000001
29145,538709,22189,CREAM HEART CARD HOLDER,2,14-12-2010 10:46,3.95,16442.0,United Kingdom,2010-12-14,7.9
29191,538710,22782,SET 3 WICKER STORAGE BASKETS ,4,14-12-2010 10:48,9.95,18075.0,United Kingdom,2010-12-14,39.8
29207,538714,22839,3 TIER CAKE TIN GREEN AND CREAM,1,14-12-2010 11:01,14.95,14524.0,United Kingdom,2010-12-14,14.95
29233,538715,22147,FELTCRAFT BUTTERFLY HEARTS,12,14-12-2010 11:03,1.45,14907.0,United Kingdom,2010-12-14,17.4
29251,538716,22621,TRADITIONAL KNITTING NANCY,12,14-12-2010 11:04,1.45,14907.0,United Kingdom,2010-12-14,17.4
29253,538719,22217,T-LIGHT HOLDER HANGING LACE,48,14-12-2010 11:10,1.25,15602.0,United Kingdom,2010-12-14,60.0
29255,538721,22224,WHITE LOVEBIRD LANTERN,4,14-12-2010 11:11,2.95,17526.0,United Kingdom,2010-12-14,11.8
29257,538722,22151,PLACE SETTING WHITE HEART,24,14-12-2010 11:12,0.42,17975.0,United Kingdom,2010-12-14,10.08
29284,538744,20981,12 PENCILS TALL TUBE WOODLAND,1,14-12-2010 11:26,0.85,15356.0,United Kingdom,2010-12-14,0.85
29349,538753,21524,DOORMAT SPOTTY HOME SWEET HOME,1,14-12-2010 11:29,7.95,14901.0,United Kingdom,2010-12-14,7.95
29369,538783,22795,SWEETHEART RECIPE BOOK STAND,16,14-12-2010 11:38,5.95,14961.0,United Kingdom,2010-12-14,95.2
29399,538785,22932,BAKING MOULD TOFFEE CUP  CHOCOLATE,6,14-12-2010 11:39,2.55,14961.0,United Kingdom,2010-12-14,15.299999999999999
29408,538795,22834,HAND WARMER BABUSHKA DESIGN,12,14-12-2010 11:42,2.1,13267.0,United Kingdom,2010-12-14,25.200000000000003
29418,538796,16156S,WRAP PINK FAIRY CAKES ,25,14-12-2010 11:43,0.42,17041.0,United Kingdom,2010-12-14,10.5
29435,538797,22704,WRAP RED APPLES ,25,14-12-2010 11:44,0.42,17685.0,United Kingdom,2010-12-14,10.5
29437,538799,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,1,14-12-2010 11:48,4.95,15039.0,United Kingdom,2010-12-14,4.95
29496,538800,21928,JUMBO BAG SCANDINAVIAN PAISLEY,10,14-12-2010 11:51,1.95,16458.0,United Kingdom,2010-12-14,19.5
29506,538801,21112,"SWISS ROLL TOWEL, PINK  SPOTS",24,14-12-2010 11:51,1.25,16083.0,United Kingdom,2010-12-14,30.0
29531,538807,22759,SET OF 3 NOTEBOOKS IN PARCEL,1,14-12-2010 12:06,1.65,17194.0,United Kingdom,2010-12-14,1.65
29559,538808,21584,RETROSPOT SMALL TUBE MATCHES,1,14-12-2010 12:11,1.65,14057.0,United Kingdom,2010-12-14,1.65
29602,538809,22571,ROCKING HORSE RED CHRISTMAS ,96,14-12-2010 12:17,0.72,15514.0,United Kingdom,2010-12-14,69.12
29613,538810,22960,JAM MAKING SET WITH JARS,1,14-12-2010 12:18,4.25,14871.0,United Kingdom,2010-12-14,4.25
29638,538811,21429,RED GINGHAM ROSE JEWELLERY BOX,16,14-12-2010 12:22,1.65,13178.0,United Kingdom,2010-12-14,26.4
29670,538812,22422,TOOTHPASTE TUBE PEN,12,14-12-2010 12:25,0.65,18044.0,United Kingdom,2010-12-14,7.800000000000001
29677,538814,22891,TEA FOR ONE POLKADOT,1,14-12-2010 12:30,4.25,15983.0,United Kingdom,2010-12-14,4.25
29702,538815,22844,VINTAGE CREAM DOG FOOD CONTAINER,2,14-12-2010 12:30,8.5,18219.0,United Kingdom,2010-12-14,17.0
29713,538816,21258,VICTORIAN SEWING BOX LARGE,8,14-12-2010 12:35,10.95,16812.0,United Kingdom,2010-12-14,87.6
29728,538817,22701,PINK DOG BOWL,24,14-12-2010 12:38,0.85,16191.0,United Kingdom,2010-12-14,20.4
29815,538827,84660A,WHITE STITCHED WALL CLOCK,60,14-12-2010 12:59,1.25,14298.0,United Kingdom,2010-12-14,75.0
29904,538828,22969,HOMEMADE JAM SCENTED CANDLES,96,14-12-2010 13:00,1.25,14298.0,United Kingdom,2010-12-14,120.0
29908,538829,22834,HAND WARMER BABUSHKA DESIGN,384,14-12-2010 13:00,0.85,16191.0,United Kingdom,2010-12-14,326.4
29909,538830,22962,JAM JAR WITH PINK LID,24,14-12-2010 13:01,0.72,14298.0,United Kingdom,2010-12-14,17.28
29914,538831,21319,GLASS CHALICE GREEN  SMALL ,36,14-12-2010 13:02,1.45,18144.0,United Kingdom,2010-12-14,52.199999999999996
29918,538832,21668,RED STRIPE CERAMIC DRAWER KNOB,12,14-12-2010 13:03,1.25,17158.0,United Kingdom,2010-12-14,15.0
29950,538836,22197,SMALL POPCORN HOLDER,6,14-12-2010 13:09,0.85,12748.0,United Kingdom,2010-12-14,5.1
29973,538839,90214M,"LETTER ""M"" BLING KEY RING",7,14-12-2010 13:10,1.25,14606.0,United Kingdom,2010-12-14,8.75
30018,538841,21987,PACK OF 6 SKULL PAPER CUPS,6,14-12-2010 13:11,0.65,16899.0,United Kingdom,2010-12-14,3.9000000000000004
30034,538843,22844,VINTAGE CREAM DOG FOOD CONTAINER,2,14-12-2010 13:18,8.5,16033.0,United Kingdom,2010-12-14,17.0
30053,538844,22174,PHOTO CUBE,48,14-12-2010 13:19,1.48,14680.0,United Kingdom,2010-12-14,71.03999999999999
30070,538845,21918,SET 12 KIDS COLOUR  CHALK STICKS,24,14-12-2010 13:19,0.42,16531.0,United Kingdom,2010-12-14,10.08
30076,538846,18098C,PORCELAIN BUTTERFLY OIL BURNER,2,14-12-2010 13:22,2.95,14606.0,United Kingdom,2010-12-14,5.9
30080,538849,22906,12 MESSAGE CARDS WITH ENVELOPES,3,14-12-2010 13:31,1.65,14415.0,United Kingdom,2010-12-14,4.949999999999999
30168,538850,22940,FELTCRAFT CHRISTMAS FAIRY,4,14-12-2010 13:31,4.25,16499.0,United Kingdom,2010-12-14,17.0
30177,538851,21955,DOORMAT UNION JACK GUNS AND ROSES,2,14-12-2010 13:32,7.95,16556.0,United Kingdom,2010-12-14,15.9
30193,538852,22689,DOORMAT MERRY CHRISTMAS RED ,1,14-12-2010 13:33,7.95,17372.0,United Kingdom,2010-12-14,7.95
30222,538853,22306,SILVER MUG BONE CHINA TREE OF LIFE,6,14-12-2010 13:35,1.95,16805.0,United Kingdom,2010-12-14,11.7
30277,538854,22837,HOT WATER BOTTLE BABUSHKA ,12,14-12-2010 13:44,4.65,13102.0,United Kingdom,2010-12-14,55.800000000000004
30289,538855,85135C,RED DRAGONFLY HELICOPTER,4,14-12-2010 13:50,7.95,16503.0,United Kingdom,2010-12-14,31.8
30319,538856,22659,LUNCH BOX I LOVE LONDON,76,14-12-2010 13:51,1.65,14057.0,United Kingdom,2010-12-14,125.39999999999999
30324,538857,82494L,WOODEN FRAME ANTIQUE WHITE ,24,14-12-2010 13:58,2.55,15311.0,United Kingdom,2010-12-14,61.199999999999996
30335,538858,22508,DOORSTOP RETROSPOT HEART,16,14-12-2010 13:58,3.39,16553.0,United Kingdom,2010-12-14,54.24
30346,538859,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,60,14-12-2010 13:59,2.1,16553.0,United Kingdom,2010-12-14,126.0
30352,538860,22456,NATURAL SLATE CHALKBOARD LARGE ,4,14-12-2010 14:02,4.95,17757.0,United Kingdom,2010-12-14,19.8
30365,538862,22914,BLUE COAT RACK PARIS FASHION,2,14-12-2010 14:11,4.95,16710.0,United Kingdom,2010-12-14,9.9
30382,538863,48187,DOORMAT NEW ENGLAND,1,14-12-2010 14:15,7.95,16919.0,United Kingdom,2010-12-14,7.95
30425,538864,21479,WHITE SKULL HOT WATER BOTTLE ,24,14-12-2010 14:26,3.39,17739.0,United Kingdom,2010-12-14,81.36
30430,538865,22796,PHOTO FRAME 3 CLASSIC HANGING,2,14-12-2010 14:37,9.95,13238.0,United Kingdom,2010-12-14,19.9
30435,538866,79302M,"ART LIGHTS,FUNK MONKEY",1,14-12-2010 14:40,2.95,17841.0,United Kingdom,2010-12-14,2.95
30503,538868,21915,RED  HARMONICA IN BOX ,48,14-12-2010 14:42,1.25,17017.0,United Kingdom,2010-12-14,60.0
30530,538869,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,6,14-12-2010 14:50,2.95,15107.0,United Kingdom,2010-12-14,17.700000000000003
30533,538870,22794,SWEETHEART WIRE MAGAZINE RACK,2,14-12-2010 14:54,7.95,12829.0,United Kingdom,2010-12-14,15.9
30538,538871,22837,HOT WATER BOTTLE BABUSHKA ,24,14-12-2010 15:02,4.65,14051.0,United Kingdom,2010-12-14,111.60000000000001
30544,538872,22725,ALARM CLOCK BAKELIKE CHOCOLATE,4,14-12-2010 15:13,3.75,13097.0,United Kingdom,2010-12-14,15.0
30560,538875,22400,MAGNETS PACK OF 4 HOME SWEET HOME,12,14-12-2010 15:18,1.25,13756.0,United Kingdom,2010-12-14,15.0
30721,538878,22423,REGENCY CAKESTAND 3 TIER,4,14-12-2010 15:43,12.75,13767.0,United Kingdom,2010-12-14,51.0
30729,538879,84819,DANISH ROSE ROUND SEWING BOX,16,14-12-2010 15:50,0.85,15392.0,United Kingdom,2010-12-14,13.6
30976,538886,22083,PAPER CHAIN KIT RETROSPOT,6,14-12-2010 16:07,2.95,13846.0,United Kingdom,2010-12-14,17.700000000000003
31005,538888,40016,CHINESE DRAGON PAPER LANTERNS,24,14-12-2010 16:23,0.42,17912.0,United Kingdom,2010-12-14,10.08
31020,538890,22708,WRAP DOLLY GIRL,25,14-12-2010 16:39,0.42,12867.0,United Kingdom,2010-12-14,10.5
31076,538892,22465,HANGING METAL STAR LANTERN,12,14-12-2010 16:53,1.45,16422.0,United Kingdom,2010-12-14,17.4
31077,538894,71053,WHITE METAL LANTERN,2,14-12-2010 17:22,3.75,16161.0,United Kingdom,2010-12-14,7.5
31102,538895,90210D,PURPLE ACRYLIC FACETED BANGLE,12,15-12-2010 09:07,1.25,14401.0,United Kingdom,2010-12-15,15.0
31117,538896,84625A,PINK NEW BAROQUECANDLESTICK CANDLE,24,15-12-2010 09:09,0.85,16145.0,United Kingdom,2010-12-15,20.4
31137,538899,84823,DANISH ROSE FOLDING CHAIR,2,15-12-2010 09:49,7.95,16817.0,United Kingdom,2010-12-15,15.9
31142,538900,21463,MIRRORED DISCO BALL ,2,15-12-2010 09:51,5.95,13078.0,United Kingdom,2010-12-15,11.9
31161,538901,22639,SET OF 4 NAPKIN CHARMS HEARTS,6,15-12-2010 09:58,2.55,17629.0,United Kingdom,2010-12-15,15.299999999999999
31172,538902,10135,COLOURING PENCILS BROWN TUBE,20,15-12-2010 10:04,0.42,14150.0,United Kingdom,2010-12-15,8.4
31184,538903,22169,FAMILY ALBUM WHITE PICTURE FRAME,2,15-12-2010 10:17,8.5,13496.0,United Kingdom,2010-12-15,17.0
31211,538905,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,12,15-12-2010 10:31,2.95,13611.0,United Kingdom,2010-12-15,35.400000000000006
31227,538907,22835,HOT WATER BOTTLE I AM SO POORLY,4,15-12-2010 10:40,4.65,15373.0,United Kingdom,2010-12-15,18.6
31232,538908,84375,SET OF 20 KIDS COOKIE CUTTERS,12,15-12-2010 10:41,2.1,16954.0,United Kingdom,2010-12-15,25.200000000000003
31244,538909,15060B,FAIRY CAKE DESIGN UMBRELLA,8,15-12-2010 10:48,3.75,13491.0,United Kingdom,2010-12-15,30.0
31249,538910,22061,LARGE CAKE STAND  HANGING STRAWBERY,4,15-12-2010 10:54,9.95,17454.0,United Kingdom,2010-12-15,39.8
31258,538917,21524,DOORMAT SPOTTY HOME SWEET HOME,1,15-12-2010 10:57,7.95,17449.0,United Kingdom,2010-12-15,7.95
31331,538935,22189,CREAM HEART CARD HOLDER,10,15-12-2010 11:08,3.95,18168.0,United Kingdom,2010-12-15,39.5
